dataset,method,prior_mode,r,c,direction,balanced_accuracy_mean,balanced_accuracy_std,worst_class_recall_mean,worst_class_recall_std,auprc_mean,auprc_std,macro_f1_mean,macro_f1_std,minority_precision_mean,minority_precision_std,minority_recall_mean,minority_recall_std,auroc_mean,auroc_std,brier_mean,brier_std,log_loss_mean,log_loss_std,ece_mean,ece_std,realized_c_mean,n_seeds
banknote_authentication,tabpfn_distpfn,observed,0.2,0.3,minority_to_majority,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.007343325084280633,0.00046151162426957983,0.06084347100726447,0.001840419275532165,0.056811909066485033,0.001569200749703331,0.296875,3
banknote_authentication,tabpfn_distpfn,observed,0.5,0.0,clean,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.2101237526099725e-10,5.251181714835669e-11,1.3500551286415142e-05,3.871259521634074e-07,1.350044077802736e-05,3.870998647151681e-07,0.0,3
banknote_authentication,tabpfn_distpfn,observed,0.5,0.05,majority_to_minority,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0009411864085975,0.00036280888858549436,0.0207173885115355,0.001314065194379091,0.02020516452202317,0.0010780021896649365,0.0504451038575667,3
banknote_authentication,tabpfn_distpfn,observed,0.5,0.05,minority_to_majority,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0010220801349964334,4.662637397061403e-05,0.02098801451147267,0.00016937241953133073,0.020457794154134165,0.0001947848251573415,0.05000000000000001,3
banknote_authentication,tabpfn_distpfn,observed,0.5,0.1,majority_to_minority,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0033978375192781,4.117784874291263e-05,0.04480398687603667,6.406791872795227e-05,0.0430077133755545,5.0561246742189864e-05,0.1011235955056179,3
banknote_authentication,tabpfn_distpfn,observed,0.5,0.1,minority_to_majority,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0048464541523287,4.746269164777295e-05,0.047798237279667,0.000261290777380269,0.045173901294568296,0.00023458504060129074,0.10000000000000002,3
banknote_authentication,tabpfn_distpfn,observed,0.5,0.2,majority_to_minority,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.022322720603626636,0.0006458110529191367,0.12302300176409824,0.0004410809589980883,0.10998206102294313,0.0001486412057247182,0.20000000000000004,3
banknote_authentication,tabpfn_distpfn,observed,0.5,0.2,minority_to_majority,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0191111477156598,0.002220477645861967,0.10162610525464781,0.0047654937295269085,0.09030455264531077,0.0030878616099452656,0.20000000000000004,3
banknote_authentication,tabpfn_distpfn,observed,0.5,0.3,majority_to_minority,0.9705882352941178,0.014244767789348666,0.9411764705882354,0.028489535578697222,1.0,0.0,0.9670819018627462,0.015855164758436718,0.9319734192126464,0.030461770635929253,1.0,0.0,1.0,0.0,0.08924306628105898,0.00022125230987053707,0.28357309607570663,0.0007330538524053714,0.21944335714903193,0.0011142817371475062,0.299781181619256,3
banknote_authentication,tabpfn_distpfn,observed,0.5,0.3,minority_to_majority,0.9972677595628415,0.004732379255652643,0.9945355191256832,0.00946475851130535,1.0,0.0,0.9975403384494294,0.004260258775011949,1.0,0.0,0.9945355191256832,0.00946475851130535,1.0,0.0,0.044471946369857934,0.0005047139210136625,0.16795123866166808,0.0019653726906879126,0.13922875598810835,0.0019055508440476352,0.3,3
banknote_authentication,tabpfn_distpfn,oracle,0.05,0.0,clean,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5284734329654676e-06,3.3466263434318583e-06,0.0002844537490213667,7.113428666925966e-05,0.0002826469359194,6.970292324399677e-05,0.0,3
banknote_authentication,tabpfn_distpfn,oracle,0.05,0.05,majority_to_minority,0.9978213507625272,0.0018867655855870618,0.9956427015250545,0.0037735311711740594,1.0,0.0,0.9975465596074496,0.0021247417066194963,0.9945799457994579,0.004693904627557975,1.0,0.0,1.0,0.0,0.0031169754969032,0.0011105190456919233,0.01713636232626167,0.005193500198750514,0.014336201791710667,0.00505711701132834,0.0588235294117647,3
banknote_authentication,tabpfn_distpfn,oracle,0.05,0.05,minority_to_majority,0.9931693989071039,0.01183094813913156,0.9863387978142075,0.023661896278263435,0.9999553912496931,7.726462199357891e-05,0.993833721248324,0.010680308091535362,1.0,0.0,0.9863387978142075,0.023661896278263435,0.9999642844387299,6.18611667406298e-05,0.0049725582362255645,0.008389013247067164,0.0167605342901583,0.022929244289937326,0.008345868835453633,0.008489126752197335,0.0625,3
