dataset,method,prior_mode,r,c,direction,balanced_accuracy_mean,balanced_accuracy_std,worst_class_recall_mean,worst_class_recall_std,auprc_mean,auprc_std,macro_f1_mean,macro_f1_std,minority_precision_mean,minority_precision_std,minority_recall_mean,minority_recall_std,auroc_mean,auroc_std,brier_mean,brier_std,log_loss_mean,log_loss_std,ece_mean,ece_std,realized_c_mean,n_seeds,baseline_ba,baseline_brier,balanced_accuracy_gain,brier_gain
banknote_authentication,xgb_weighted,,0.5,0.1,minority_to_majority,0.9726775956284154,0.0184805317738643,0.9453551912568304,0.0369610635477286,0.9999777866631124,3.847462809471687e-05,0.97523855542978,0.0168196891397001,1.0,0.0,0.9453551912568304,0.0369610635477286,0.999982142219365,3.093058337027484e-05,0.0187017793456713,0.0057551435387791,0.066686072697242,0.0129504421100295,0.0498890903569531,0.0055578488575275,0.1,3,0.9685792349726776,0.020574412929515,0.004098360655737765,0.001872633583843701
banknote_authentication,xgb_weighted,,0.5,0.2,majority_to_minority,0.9237472766884532,0.0147361103033427,0.8474945533769063,0.0294722206066855,0.999040532279594,0.0007889469154663,0.9150799259276682,0.016337591469606,0.8399869568761719,0.0259854388254829,1.0,0.0,0.9992142576520592,0.0006480676921184,0.0579113848507403,0.0092764957273984,0.1891582657893498,0.0301051352419078,0.1148779074350992,0.0083994100481533,0.2,3,0.9019607843137254,0.0726298913359641,0.02178649237472785,0.014718506485223805
banknote_authentication,xgb_weighted,,0.5,0.2,minority_to_majority,0.959293189042466,0.0143168512563982,0.9207650273224044,0.0250413972401958,0.999547737315786,0.0007833419474261,0.9628101053396558,0.0135146054926956,0.9969696969696972,0.0052486388108147,0.9207650273224044,0.0250413972401958,0.9996607021679346,0.0005876810840353,0.0288489138086636,0.0088047055373408,0.0991047993302344,0.0230148631866349,0.0659226459716304,0.0078600970520368,0.2,3,0.9469981070752528,0.0339858469863732,0.012295081967213184,0.005136933177709597
banknote_authentication,xgb_weighted,,0.5,0.3,majority_to_minority,0.840958605664488,0.037164971915538,0.681917211328976,0.0743299438310761,0.9949023548321768,0.0051767135615821,0.8219618675160597,0.0423358875889976,0.7170263672664371,0.0491495334823088,1.0,0.0,0.9957498482088646,0.0042442576377978,0.1233529647191365,0.0233545884916203,0.3727004627386729,0.0689353255483488,0.2012946397020961,0.019734193350048,0.299781181619256,3,0.7745098039215685,0.174999381105105,0.06644880174291945,0.051646416385968494
banknote_authentication,xgb_weighted,,0.5,0.3,minority_to_majority,0.8756830601092895,0.022572010439697,0.7513661202185792,0.0451440208793942,0.9986952716004582,0.0004780347087609,0.8837505561344797,0.0222027361773265,1.0,0.0,0.7513661202185792,0.0451440208793942,0.9989285331618986,0.0003863228624733,0.0730580339829126,0.0101932029640105,0.2211561749378839,0.0219850758591796,0.1144808001387299,0.0123633069518324,0.3,3,0.8633879781420765,0.0829073712229728,0.012295081967213073,0.009849337240060194
blood_transfusion,xgb_weighted,,0.05,0.0,clean,0.530214424951267,0.0080520037241024,0.1481481481481481,0.0320750149549791,0.3762167814107618,0.0285735283834162,0.5213688484362932,0.0133541156221462,0.351475279106858,0.0314227718279042,0.1481481481481481,0.0320750149549791,0.6938352826510722,0.0277617425759693,0.2315610299507776,0.0068668311347564,1.0743660529454548,0.1063176114108962,0.2324891462114949,0.0097235278902894,0.0,3,0.5112085769980507,0.211589440703392,0.01900584795321636,-0.019971589247385596
blood_transfusion,xgb_weighted,,0.05,0.05,majority_to_minority,0.5333820662768031,0.0574299698841919,0.2129629629629629,0.1051649693666717,0.3403615244345754,0.0684891614802751,0.5315093544420328,0.0631874278761482,0.3131447096964337,0.1121143712032164,0.2129629629629629,0.1051649693666717,0.5980750487329435,0.0605749458173479,0.2387976100047429,0.0292047519033352,1.1041325330734253,0.1922589634769244,0.2441490986011922,0.0396169735534966,0.0666666666666666,3,0.5331384015594541,0.2115211089452107,0.0002436647173489348,-0.027276501059532193
blood_transfusion,xgb_weighted,,0.05,0.05,minority_to_majority,0.5331384015594541,0.0590448431568258,0.1481481481481481,0.0699058744006551,0.3319043346807158,0.0580695124068801,0.5269478500483054,0.0715088106287485,0.3966486729644624,0.2294009313322557,0.1481481481481481,0.0699058744006551,0.5958008447043536,0.0276487884073525,0.2299762368202208,0.0227063147853143,1.2229698499043782,0.0494822330988331,0.230562396886655,0.029967127913352,0.0714285714285714,3,0.5185185185185185,0.2164057493209838,0.014619883040935644,-0.013570487499237005
blood_transfusion,xgb_weighted,,0.05,0.1,majority_to_minority,0.5187621832358674,0.0498489419296148,0.1574074074074073,0.1122625523424272,0.3186559711952195,0.0674217351034462,0.5081061474392287,0.0704686166222616,0.262795175838654,0.1611639509277272,0.1574074074074073,0.1122625523424272,0.5840643274853802,0.0816303169397573,0.2339263955752054,0.0179057466399005,1.1420196692148843,0.1452982736875611,0.2243359685068329,0.0242279353213296,0.125,3,0.5097465886939571,0.2181880076726277,0.009015594541910366,-0.0157383879025777
blood_transfusion,xgb_weighted,,0.05,0.1,minority_to_majority,0.5155945419103314,0.032149895122925,0.1481481481481481,0.0160375074774895,0.3986278686039409,0.1141956687148745,0.5089295408190856,0.0345374845134216,0.3089688089688089,0.1322399555695789,0.1481481481481481,0.0160375074774895,0.6535493827160493,0.101707863531831,0.2213041236003239,0.0310379711854724,1.024379054705302,0.1803298190737135,0.2266665319042901,0.0302578127812732,0.0714285714285714,3,0.5155945419103314,0.2087463686863581,0.0,-0.012557754913965796
blood_transfusion,xgb_weighted,,0.05,0.2,majority_to_minority,0.5207115009746589,0.0450694107036561,0.1203703703703703,0.0848625128695526,0.3297837936673397,0.0709524678412399,0.5046345181152164,0.0629370127476511,0.3497474747474747,0.2674235270542983,0.1203703703703703,0.0848625128695526,0.5849577647823262,0.0414148192621255,0.2378833889961242,0.0211420160920317,1.235277732213338,0.0576308138163058,0.2407022613152446,0.0229237684321133,0.2222222222222222,3,0.5207115009746589,0.2138254990180332,0.0,-0.024057889978091024
