method,dataset,r,direction,break_even_c
tabpfn_distpfn_t,statlog_heart,0.2,majority_to_minority,>0.30
tabpfn_distpfn_t,statlog_heart,0.2,minority_to_majority,>0.30
tabpfn_distpfn_t,statlog_heart,0.5,majority_to_minority,0.05
tabpfn_distpfn_t,statlog_heart,0.5,minority_to_majority,0.05
tabpfn_downsample,banknote_authentication,0.05,majority_to_minority,0.05
tabpfn_downsample,banknote_authentication,0.05,minority_to_majority,0.05
tabpfn_downsample,banknote_authentication,0.1,majority_to_minority,0.05
tabpfn_downsample,banknote_authentication,0.1,minority_to_majority,0.1
tabpfn_downsample,banknote_authentication,0.2,majority_to_minority,0.05
tabpfn_downsample,banknote_authentication,0.2,minority_to_majority,0.05
tabpfn_downsample,banknote_authentication,0.5,minority_to_majority,0.05
tabpfn_downsample,blood_transfusion,0.05,majority_to_minority,>0.30
tabpfn_downsample,blood_transfusion,0.05,minority_to_majority,>0.30
tabpfn_downsample,blood_transfusion,0.1,majority_to_minority,>0.30
tabpfn_downsample,blood_transfusion,0.1,minority_to_majority,>0.30
tabpfn_downsample,blood_transfusion,0.2,majority_to_minority,>0.30
tabpfn_downsample,blood_transfusion,0.2,minority_to_majority,>0.30
tabpfn_downsample,blood_transfusion,0.5,minority_to_majority,>0.30
tabpfn_downsample,breast_cancer_wisconsin,0.05,majority_to_minority,0.1
tabpfn_downsample,breast_cancer_wisconsin,0.05,minority_to_majority,>0.30
tabpfn_downsample,breast_cancer_wisconsin,0.1,majority_to_minority,0.05
tabpfn_downsample,breast_cancer_wisconsin,0.1,minority_to_majority,>0.30
tabpfn_downsample,breast_cancer_wisconsin,0.2,majority_to_minority,0.05
tabpfn_downsample,breast_cancer_wisconsin,0.2,minority_to_majority,0.05
tabpfn_downsample,breast_cancer_wisconsin,0.5,minority_to_majority,0.05
tabpfn_downsample,haberman_survival,0.05,majority_to_minority,0.1
tabpfn_downsample,haberman_survival,0.05,minority_to_majority,>0.30
tabpfn_downsample,haberman_survival,0.1,majority_to_minority,>0.30
tabpfn_downsample,haberman_survival,0.1,minority_to_majority,>0.30
tabpfn_downsample,haberman_survival,0.2,majority_to_minority,>0.30
tabpfn_downsample,haberman_survival,0.2,minority_to_majority,>0.30
tabpfn_downsample,haberman_survival,0.5,minority_to_majority,0.1
tabpfn_downsample,htru2,0.05,majority_to_minority,>0.30
tabpfn_downsample,htru2,0.05,minority_to_majority,>0.30
tabpfn_downsample,htru2,0.1,majority_to_minority,>0.30
tabpfn_downsample,htru2,0.1,minority_to_majority,>0.30
tabpfn_downsample,htru2,0.2,majority_to_minority,>0.30
tabpfn_downsample,htru2,0.2,minority_to_majority,>0.30
tabpfn_downsample,htru2,0.5,minority_to_majority,>0.30
tabpfn_downsample,ionosphere,0.05,majority_to_minority,0.1
tabpfn_downsample,ionosphere,0.05,minority_to_majority,>0.30
tabpfn_downsample,ionosphere,0.1,majority_to_minority,0.2
tabpfn_downsample,ionosphere,0.1,minority_to_majority,>0.30
tabpfn_downsample,ionosphere,0.2,majority_to_minority,0.1
tabpfn_downsample,ionosphere,0.2,minority_to_majority,0.05
tabpfn_downsample,ionosphere,0.5,minority_to_majority,0.1
tabpfn_downsample,qsar_biodegradation,0.05,majority_to_minority,>0.30
tabpfn_downsample,qsar_biodegradation,0.05,minority_to_majority,>0.30
tabpfn_downsample,qsar_biodegradation,0.1,majority_to_minority,>0.30
tabpfn_downsample,qsar_biodegradation,0.1,minority_to_majority,>0.30
tabpfn_downsample,qsar_biodegradation,0.2,majority_to_minority,0.3
tabpfn_downsample,qsar_biodegradation,0.2,minority_to_majority,>0.30
tabpfn_downsample,qsar_biodegradation,0.5,minority_to_majority,0.2
tabpfn_downsample,south_german_credit,0.05,majority_to_minority,>0.30
tabpfn_downsample,south_german_credit,0.05,minority_to_majority,>0.30
tabpfn_downsample,south_german_credit,0.1,majority_to_minority,>0.30
tabpfn_downsample,south_german_credit,0.1,minority_to_majority,>0.30
tabpfn_downsample,south_german_credit,0.2,majority_to_minority,>0.30
tabpfn_downsample,south_german_credit,0.2,minority_to_majority,>0.30
tabpfn_downsample,south_german_credit,0.5,minority_to_majority,>0.30
tabpfn_downsample,spambase,0.05,majority_to_minority,>0.30
tabpfn_downsample,spambase,0.05,minority_to_majority,>0.30
tabpfn_downsample,spambase,0.1,majority_to_minority,>0.30
tabpfn_downsample,spambase,0.1,minority_to_majority,>0.30
tabpfn_downsample,spambase,0.2,majority_to_minority,>0.30
tabpfn_downsample,spambase,0.2,minority_to_majority,>0.30
tabpfn_downsample,spambase,0.5,minority_to_majority,0.05
tabpfn_downsample,statlog_heart,0.05,majority_to_minority,>0.30
tabpfn_downsample,statlog_heart,0.05,minority_to_majority,>0.30
tabpfn_downsample,statlog_heart,0.1,majority_to_minority,>0.30
tabpfn_downsample,statlog_heart,0.1,minority_to_majority,>0.30
tabpfn_downsample,statlog_heart,0.2,majority_to_minority,0.1
tabpfn_downsample,statlog_heart,0.2,minority_to_majority,>0.30
tabpfn_downsample,statlog_heart,0.5,minority_to_majority,0.05
tabpfn_threshold,banknote_authentication,0.05,majority_to_minority,0.05
tabpfn_threshold,banknote_authentication,0.05,minority_to_majority,>0.30
tabpfn_threshold,banknote_authentication,0.1,majority_to_minority,0.05
tabpfn_threshold,banknote_authentication,0.1,minority_to_majority,0.1
tabpfn_threshold,banknote_authentication,0.2,majority_to_minority,0.05
tabpfn_threshold,banknote_authentication,0.2,minority_to_majority,0.1
tabpfn_threshold,banknote_authentication,0.5,majority_to_minority,0.05
tabpfn_threshold,banknote_authentication,0.5,minority_to_majority,0.05
tabpfn_threshold,blood_transfusion,0.05,majority_to_minority,>0.30
tabpfn_threshold,blood_transfusion,0.05,minority_to_majority,>0.30
tabpfn_threshold,blood_transfusion,0.1,majority_to_minority,>0.30
tabpfn_threshold,blood_transfusion,0.1,minority_to_majority,>0.30
tabpfn_threshold,blood_transfusion,0.2,majority_to_minority,>0.30
tabpfn_threshold,blood_transfusion,0.2,minority_to_majority,>0.30
tabpfn_threshold,blood_transfusion,0.5,majority_to_minority,0.05
tabpfn_threshold,blood_transfusion,0.5,minority_to_majority,0.05
tabpfn_threshold,breast_cancer_wisconsin,0.05,majority_to_minority,>0.30
tabpfn_threshold,breast_cancer_wisconsin,0.05,minority_to_majority,>0.30
tabpfn_threshold,breast_cancer_wisconsin,0.1,majority_to_minority,0.3
tabpfn_threshold,breast_cancer_wisconsin,0.1,minority_to_majority,>0.30
tabpfn_threshold,breast_cancer_wisconsin,0.2,majority_to_minority,0.1
tabpfn_threshold,breast_cancer_wisconsin,0.2,minority_to_majority,>0.30
tabpfn_threshold,breast_cancer_wisconsin,0.5,majority_to_minority,0.05
tabpfn_threshold,breast_cancer_wisconsin,0.5,minority_to_majority,0.05
tabpfn_threshold,haberman_survival,0.05,majority_to_minority,>0.30
tabpfn_threshold,haberman_survival,0.05,minority_to_majority,>0.30
tabpfn_threshold,haberman_survival,0.1,majority_to_minority,>0.30
tabpfn_threshold,haberman_survival,0.1,minority_to_majority,>0.30
tabpfn_threshold,haberman_survival,0.2,majority_to_minority,>0.30
tabpfn_threshold,haberman_survival,0.2,minority_to_majority,>0.30
tabpfn_threshold,haberman_survival,0.5,majority_to_minority,0.05
tabpfn_threshold,haberman_survival,0.5,minority_to_majority,0.05
tabpfn_threshold,htru2,0.05,majority_to_minority,>0.30
tabpfn_threshold,htru2,0.05,minority_to_majority,>0.30
tabpfn_threshold,htru2,0.1,majority_to_minority,>0.30
tabpfn_threshold,htru2,0.1,minority_to_majority,>0.30
tabpfn_threshold,htru2,0.2,majority_to_minority,>0.30
tabpfn_threshold,htru2,0.2,minority_to_majority,>0.30
tabpfn_threshold,htru2,0.5,majority_to_minority,0.05
tabpfn_threshold,htru2,0.5,minority_to_majority,0.05
tabpfn_threshold,ionosphere,0.05,majority_to_minority,>0.30
tabpfn_threshold,ionosphere,0.05,minority_to_majority,>0.30
tabpfn_threshold,ionosphere,0.1,majority_to_minority,>0.30
tabpfn_threshold,ionosphere,0.1,minority_to_majority,>0.30
tabpfn_threshold,ionosphere,0.2,majority_to_minority,0.3
tabpfn_threshold,ionosphere,0.2,minority_to_majority,>0.30
tabpfn_threshold,ionosphere,0.5,majority_to_minority,0.05
tabpfn_threshold,ionosphere,0.5,minority_to_majority,0.05
tabpfn_threshold,qsar_biodegradation,0.05,majority_to_minority,>0.30
tabpfn_threshold,qsar_biodegradation,0.05,minority_to_majority,>0.30
tabpfn_threshold,qsar_biodegradation,0.1,majority_to_minority,>0.30
tabpfn_threshold,qsar_biodegradation,0.1,minority_to_majority,>0.30
tabpfn_threshold,qsar_biodegradation,0.2,majority_to_minority,0.3
tabpfn_threshold,qsar_biodegradation,0.2,minority_to_majority,>0.30
tabpfn_threshold,qsar_biodegradation,0.5,majority_to_minority,0.05
tabpfn_threshold,qsar_biodegradation,0.5,minority_to_majority,0.05
tabpfn_threshold,south_german_credit,0.05,majority_to_minority,>0.30
tabpfn_threshold,south_german_credit,0.05,minority_to_majority,>0.30
tabpfn_threshold,south_german_credit,0.1,majority_to_minority,>0.30
tabpfn_threshold,south_german_credit,0.1,minority_to_majority,>0.30
tabpfn_threshold,south_german_credit,0.2,majority_to_minority,>0.30
tabpfn_threshold,south_german_credit,0.2,minority_to_majority,>0.30
tabpfn_threshold,south_german_credit,0.5,majority_to_minority,0.05
tabpfn_threshold,south_german_credit,0.5,minority_to_majority,0.05
tabpfn_threshold,spambase,0.05,majority_to_minority,>0.30
tabpfn_threshold,spambase,0.05,minority_to_majority,>0.30
tabpfn_threshold,spambase,0.1,majority_to_minority,>0.30
tabpfn_threshold,spambase,0.1,minority_to_majority,>0.30
tabpfn_threshold,spambase,0.2,majority_to_minority,>0.30
tabpfn_threshold,spambase,0.2,minority_to_majority,>0.30
tabpfn_threshold,spambase,0.5,majority_to_minority,0.05
tabpfn_threshold,spambase,0.5,minority_to_majority,0.05
tabpfn_threshold,statlog_heart,0.05,majority_to_minority,>0.30
tabpfn_threshold,statlog_heart,0.05,minority_to_majority,>0.30
