dataset,r,c,direction,method,balanced_accuracy_observed,balanced_accuracy_oracle
breast_cancer_wisconsin,0.05,0.3,majority_to_minority,tabpfn_threshold,0.9603174603174603,0.9480820105820106
breast_cancer_wisconsin,0.05,0.3,minority_to_majority,tabpfn_threshold,0.92989417989418,0.9289021164021164
breast_cancer_wisconsin,0.1,0.0,clean,tabpfn_threshold,0.9566798941798944,0.9566798941798944
breast_cancer_wisconsin,0.1,0.05,majority_to_minority,tabpfn_threshold,0.9662698412698412,0.9662698412698412
breast_cancer_wisconsin,0.1,0.05,minority_to_majority,tabpfn_threshold,0.9513888888888888,0.9537037037037036
breast_cancer_wisconsin,0.1,0.1,majority_to_minority,tabpfn_threshold,0.9692460317460316,0.9662698412698412
breast_cancer_wisconsin,0.1,0.1,minority_to_majority,tabpfn_threshold,0.9613095238095236,0.95734126984127
breast_cancer_wisconsin,0.1,0.2,majority_to_minority,tabpfn_threshold,0.9639550264550264,0.9672619047619048
breast_cancer_wisconsin,0.1,0.2,minority_to_majority,tabpfn_threshold,0.9447751322751324,0.9431216931216932
breast_cancer_wisconsin,0.1,0.3,majority_to_minority,tabpfn_threshold,0.960978835978836,0.9401455026455028
breast_cancer_wisconsin,0.1,0.3,minority_to_majority,tabpfn_threshold,0.9447751322751322,0.9193121693121692
breast_cancer_wisconsin,0.2,0.0,clean,tabpfn_threshold,0.9748677248677248,0.9748677248677248
breast_cancer_wisconsin,0.2,0.05,majority_to_minority,tabpfn_threshold,0.9834656084656084,0.9834656084656084
breast_cancer_wisconsin,0.2,0.05,minority_to_majority,tabpfn_threshold,0.958994708994709,0.958994708994709
breast_cancer_wisconsin,0.2,0.1,majority_to_minority,tabpfn_threshold,0.9616402116402116,0.957010582010582
breast_cancer_wisconsin,0.2,0.1,minority_to_majority,tabpfn_threshold,0.9457671957671958,0.9441137566137566
breast_cancer_wisconsin,0.2,0.2,majority_to_minority,tabpfn_threshold,0.9632936507936508,0.9556878306878308
breast_cancer_wisconsin,0.2,0.2,minority_to_majority,tabpfn_threshold,0.9384920634920634,0.9391534391534392
breast_cancer_wisconsin,0.2,0.3,majority_to_minority,tabpfn_threshold,0.9632936507936508,0.9348544973544972
breast_cancer_wisconsin,0.2,0.3,minority_to_majority,tabpfn_threshold,0.9249338624338628,0.9285714285714284
breast_cancer_wisconsin,0.5,0.0,clean,tabpfn_threshold,0.9732142857142856,0.9732142857142856
breast_cancer_wisconsin,0.5,0.05,majority_to_minority,tabpfn_threshold,0.9606481481481484,0.9623015873015872
breast_cancer_wisconsin,0.5,0.05,minority_to_majority,tabpfn_threshold,0.956679894179894,0.9527116402116405
breast_cancer_wisconsin,0.5,0.1,majority_to_minority,tabpfn_threshold,0.9632936507936508,0.9517195767195769
