dataset,seed,r,c,direction,realized_c,method,prior_mode,balanced_accuracy,worst_class_recall,auprc,macro_f1,minority_precision,minority_recall,auroc,brier,log_loss,ece
banknote_authentication,13,0.5,0.2,minority_to_majority,0.2,tabpfn_distpfn_t,oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0028801903584138,0.0364549846354472,0.0349255857458514
banknote_authentication,13,0.5,0.2,minority_to_majority,0.2,tabpfn_downsample,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0051083923317492,0.050194151699543,0.0474384594852348
banknote_authentication,13,0.5,0.3,majority_to_minority,0.299781181619256,xgb_none,,0.7581699346405228,0.5163398692810458,0.9941415502357008,0.7241650401214488,0.6224489795918368,1.0,0.9948033858352084,0.1860115677118301,0.5533069968223572,0.265819151780822
banknote_authentication,13,0.5,0.3,majority_to_minority,0.299781181619256,xgb_weighted,,0.8300653594771241,0.6601307189542484,0.995862410161238,0.8097999574377528,0.7011494252873564,1.0,0.9964105860923604,0.1302264034748077,0.3832976818084717,0.2130416002056815
banknote_authentication,13,0.5,0.3,majority_to_minority,0.299781181619256,xgb_ros,,0.8202614379084967,0.6405228758169934,0.9935052967962208,0.798465002864795,0.6892655367231638,1.0,0.9942140790742529,0.1518967449665069,0.4655636847019195,0.2270916190472516
banknote_authentication,13,0.5,0.3,majority_to_minority,0.299781181619256,xgb_smote,,0.8562091503267975,0.7124183006535948,0.9977165337645456,0.8396416454622562,0.7349397590361446,1.0,0.9981249330333228,0.1243670359253883,0.3798109591007232,0.1911523804068565
banknote_authentication,13,0.5,0.3,majority_to_minority,0.299781181619256,tabpfn_none,,0.9640522875816994,0.9281045751633988,1.0,0.9597873047524096,0.9172932330827068,1.0,1.0,0.1050181165337562,0.3162675201892853,0.2395421832258051
banknote_authentication,13,0.5,0.3,majority_to_minority,0.299781181619256,tabpfn_threshold,observed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1050181165337562,0.3162675201892853,0.2395421832258051
banknote_authentication,13,0.5,0.3,majority_to_minority,0.299781181619256,tabpfn_threshold,oracle,0.9640522875816994,0.9281045751633988,1.0,0.9597873047524096,0.9172932330827068,1.0,1.0,0.1050181165337562,0.3162675201892853,0.2395421832258051
banknote_authentication,13,0.5,0.3,majority_to_minority,0.299781181619256,tabpfn_distpfn,observed,0.9934640522875816,0.9869281045751634,1.0,0.992645485665383,0.9838709677419356,1.0,1.0,0.0244957927331169,0.1242242040499973,0.1090933320310579
